service_date,gtfs_route_id,gtfs_route_long_name,peak_offpeak_ind,otp_numerator,otp_denominator,cancelled_numerator,ObjectId,otp_ratio,service_time
2024-12-19,CR-Worcester,Framingham/Worcester Line,PEAK,16,17,0,10609,0.94,05:00:00
2024-12-19,CR-Middleborough,Middleborough/Lakeville Line,PEAK,6,6,0,10610,1.0,05:00:00
2024-12-19,CR-Providence,Providence/Stoughton Line,PEAK,7,7,0,10611,1.0,05:00:00
2024-12-19,CR-Providence,Providence/Stoughton Line,PEAK,10,10,0,10612,1.0,05:00:00
2024-12-18,CR-Providence,Providence/Stoughton Line,OFF_PEAK,25,25,0,10701,1.0,05:00:00
2024-12-19,CR-Newburyport,Newburyport/Rockport Line,PEAK,5,6,0,10726,0.83,05:00:00
2024-12-19,CR-Haverhill,Haverhill Line,PEAK,11,12,0,10752,0.92,05:00:00
2024-12-19,CR-Kingston,Kingston/Plymouth Line,PEAK,7,8,0,10753,0.88,05:00:00
2024-12-19,CR-Fairmount,Fairmount Line,OFF_PEAK,42,43,0,10759,0.98,05:00:00
2024-12-19,CR-Fitchburg,Fitchburg Line,OFF_PEAK,29,29,0,10760,1.0,05:00:00
2024-12-19,CR-Worcester,Framingham/Worcester Line,OFF_PEAK,29,30,0,10761,0.97,05:00:00
2024-12-19,CR-Franklin,Franklin Line,OFF_PEAK,17,18,0,10762,0.94,05:00:00
2024-12-19,CR-Greenbush,Greenbush Line,OFF_PEAK,20,20,0,10763,1.0,05:00:00
2024-12-19,CR-Haverhill,Haverhill Line,OFF_PEAK,31,31,0,10764,1.0,05:00:00
2024-12-18,CR-Lowell,Lowell Line,PEAK,11,11,0,10787,1.0,05:00:00
2024-12-18,CR-Worcester,Framingham/Worcester Line,PEAK,17,17,0,10805,1.0,05:00:00
2024-12-18,CR-Middleborough,Middleborough/Lakeville Line,PEAK,6,6,0,10806,1.0,05:00:00
2024-12-18,CR-Providence,Providence/Stoughton Line,PEAK,6,7,0,10807,0.86,05:00:00
2024-12-18,CR-Providence,Providence/Stoughton Line,PEAK,8,10,0,10808,0.8,05:00:00
2024-12-18,CR-Fairmount,Fairmount Line,PEAK,9,14,1,10829,0.64,05:00:00
2024-12-17,CR-Worcester,Framingham/Worcester Line,PEAK,17,17,0,10868,1.0,05:00:00
2024-12-17,CR-Haverhill,Haverhill Line,PEAK,12,12,0,10869,1.0,05:00:00
2024-12-17,CR-Kingston,Kingston/Plymouth Line,PEAK,8,8,0,10870,1.0,05:00:00
